transaction_id,product_id,quantity
T000114,P008,3
T000115,P007,3
T000115,P009,1
T000116,P006,3
T000116,P008,1
T000117,P014,1
T000117,P016,2
T000117,P015,3
T000118,P003,1
T000118,P004,2
T000118,P001,1
T000119,P014,3
T000119,P016,1
T000119,P015,2
T000120,P014,3
T000120,P016,2
T000120,P015,1
T000121,P014,1
T000121,P015,1
T000122,P014,3
T000122,P015,2
T000123,P013,1
T000123,P012,3
T000123,P010,3
T000123,P011,2
T000124,P014,2
T000124,P016,2
T000124,P015,3
T000125,P013,1
T000125,P010,3
T000126,P011,3
T000126,P010,3
T000127,P002,2
T000127,P003,1
T000127,P001,2
T000127,P004,2
T000128,P004,1
T000128,P001,3
T000128,P005,1
T000129,P007,1
T000129,P008,2
T000130,P014,3
T000130,P016,1
T000131,P008,1
T000131,P006,1
T000131,P009,3
T000132,P002,2
T000132,P004,3
T000132,P001,3
T000133,P013,3
T000133,P012,3
T000133,P011,1
T000134,P001,2
T000134,P003,3
T000134,P002,2
T000134,P005,3
T000135,P002,3
T000135,P004,1
T000135,P001,3
T000135,P005,3
T000136,P007,2
T000136,P006,1
T000137,P014,3
T000137,P016,3
T000137,P015,2
T000138,P007,3
T000138,P008,1
T000139,P013,3
T000139,P010,3
T000140,P013,2
T000140,P010,2
T000141,P004,2
T000141,P002,3
T000142,P007,2
T000142,P008,2
T000143,P002,3
T000143,P001,3
T000143,P005,3
T000144,P002,3
T000144,P003,3
T000144,P001,2
T000145,P003,3
T000145,P004,3
T000145,P001,2
T000145,P005,2
T000146,P008,2
T000146,P006,1
T000146,P009,2
T000147,P012,2
T000147,P010,2
T000147,P011,1
T000148,P012,1
T000148,P010,2
T000148,P011,1
T000149,P006,1
T000149,P009,3
T000150,P012,3
T000150,P010,2
T000150,P011,1
T000151,P013,1
T000151,P012,1
T000151,P010,1
T000152,P013,1
T000152,P012,1
T000152,P011,1
T000153,P013,1
T000153,P012,2
T000153,P011,2
T000154,P007,1
T000154,P006,2
T000154,P008,1
T000155,P014,2
T000155,P016,1
T000155,P015,2
T000156,P002,1
T000156,P003,2
T000156,P001,3
T000156,P005,2
T000157,P014,2
T000157,P015,1
T000158,P012,1
T000158,P010,1
T000158,P011,2
T000159,P001,2
T000159,P003,1
T000159,P002,1
T000160,P002,3
T000160,P004,3
T000160,P003,2
T000161,P013,1
T000161,P012,3
T000161,P010,3
T000161,P011,1
T000162,P007,3
T000162,P008,1
T000162,P009,2
T000163,P013,2
T000163,P012,3
T000163,P011,2
T000164,P016,1
T000164,P015,1
T000165,P004,1
T000165,P003,1
T000165,P005,2
T000166,P014,2
T000166,P016,3
T000167,P008,2
T000167,P006,1
T000167,P009,2
T000168,P012,1
T000168,P010,2
T000169,P013,3
T000169,P012,3
T000169,P011,1
T000169,P010,2
T000170,P002,2
T000170,P004,2
T000170,P001,3
T000170,P005,1
T000171,P007,2
T000171,P008,3
T000172,P008,3
T000172,P009,1
T000173,P004,2
T000173,P002,1
T000173,P005,3
T000174,P014,1
T000174,P016,3
T000174,P015,3
T000175,P003,1
T000175,P001,1
T000176,P013,2
T000176,P012,1
T000176,P011,2
T000177,P013,1
T000177,P011,3
T000178,P014,3
T000178,P016,3
T000178,P015,3
T000179,P014,2
T000179,P015,3
T000180,P004,3
T000180,P005,1
T000181,P007,3
T000181,P008,3
T000181,P009,2
T000182,P016,2
T000182,P015,3
T000183,P012,2
T000183,P011,2
T000183,P010,3
T000184,P013,1
T000184,P012,3
T000184,P010,1
T000184,P011,2
T000185,P013,3
T000185,P012,2
T000185,P010,1
T000185,P011,2
T000186,P013,3
T000186,P012,3
T000186,P010,1
T000186,P011,3
T000187,P014,1
T000187,P015,2
T000188,P013,3
T000188,P010,2
T000189,P001,2
T000189,P004,3
T000189,P002,1
T000190,P013,2
T000190,P010,1
T000191,P003,1
T000191,P002,2
T000192,P012,1
T000192,P010,1
T000192,P011,3
T000193,P004,2
T000193,P002,2
T000194,P004,1
T000194,P005,1
T000195,P012,2
T000195,P011,3
T000196,P007,3
T000196,P006,2
T000197,P007,3
T000197,P006,3
T000197,P009,3
T000198,P003,2
T000198,P004,1
T000198,P005,3
T000199,P008,3
T000199,P009,3
T000200,P016,1
T000200,P015,1
T000201,P013,1
T000201,P012,2
T000201,P010,2
T000202,P007,3
T000202,P006,3
T000202,P009,2
T000203,P007,3
T000203,P008,2
T000204,P007,1
T000204,P006,3
T000204,P008,1
T000205,P001,2
T000205,P004,1
T000205,P002,1
T000205,P005,1
T000206,P004,1
T000206,P002,3
T000206,P005,1
T000207,P014,2
T000207,P016,2
T000207,P015,3
T000208,P014,2
T000208,P016,3
T000208,P015,3
T000209,P003,1
T000209,P004,3
T000209,P001,2
T000209,P005,1
T000210,P004,2
T000210,P003,1
T000210,P002,1
T000210,P005,2
T000211,P003,3
T000211,P002,2
T000212,P014,3
T000212,P016,3
T000213,P001,1
T000213,P003,3
T000213,P002,3
T000214,P016,1
T000214,P015,3
T000215,P007,1
T000215,P008,2
T000216,P012,2
T000216,P010,1
T000216,P011,3
T000217,P004,2
T000217,P002,3
T000218,P004,3
T000218,P002,1
T000218,P005,1
T000219,P007,1
T000219,P006,2
T000219,P009,1
T000220,P013,3
T000220,P012,2
T000220,P010,2
T000220,P011,2
T000221,P008,2
T000221,P009,2
T000222,P012,1
T000222,P010,3
T000222,P011,1
T000223,P007,3
T000223,P006,2
T000223,P009,2
T000224,P013,3
T000224,P012,2
T000225,P007,2
T000225,P006,3
T000225,P009,3
T000226,P014,1
T000226,P015,2
T000227,P013,3
T000227,P011,1
T000228,P014,2
T000228,P016,1
T000228,P015,2
T000229,P013,2
T000229,P010,1
T000229,P011,3
T000230,P002,1
T000230,P004,2
T000230,P003,1
T000231,P014,3
T000231,P015,2
T000232,P007,3
T000232,P006,1
T000232,P008,3
T000233,P013,3
T000233,P011,2
T000234,P008,3
T000234,P009,3
T000235,P008,1
T000235,P009,2
T000236,P013,1
T000236,P012,1
T000236,P011,3
T000237,P002,3
T000237,P001,1
T000238,P014,2
T000238,P015,2
T000239,P002,1
T000239,P003,1
T000239,P001,2
T000239,P005,2
T000240,P007,1
T000240,P006,1
T000240,P009,1
T000241,P014,3
T000241,P016,1
T000241,P015,2
T000242,P014,2
T000242,P016,3
T000242,P015,1
T000243,P014,1
T000243,P016,3
T000244,P012,1
T000244,P011,1
T000244,P010,3
T000245,P001,1
T000245,P004,3
T000245,P002,2
T000246,P007,3
T000246,P006,2
T000246,P008,3
T000247,P014,3
T000247,P016,1
T000247,P015,3
T000248,P013,2
T000248,P012,3
T000248,P011,2
T000248,P010,3
T000249,P002,2
T000249,P001,1
T000249,P005,2
T000250,P014,3
T000250,P016,3
T000250,P015,2
T000251,P012,2
T000251,P011,1
T000251,P010,2
T000252,P013,3
T000252,P010,2
T000252,P011,3
T000253,P007,1
T000253,P006,3
T000253,P008,3
T000253,P009,3
T000254,P001,2
T000254,P004,2
T000254,P002,2
T000255,P007,1
T000255,P006,3
T000255,P008,1
T000255,P009,1
T000256,P002,2
T000256,P003,2
T000256,P001,3
T000256,P005,3
T000257,P013,3
T000257,P011,2
T000258,P007,2
T000258,P006,2
T000258,P009,2
T000259,P007,2
T000259,P006,1
T000259,P008,3
T000259,P009,2
T000260,P006,2
T000260,P008,3
T000261,P004,2
T000261,P001,2
T000262,P002,2
T000262,P003,2
T000262,P001,2
T000263,P007,1
T000263,P006,2
T000263,P008,3
T000263,P009,2
T000264,P012,1
T000264,P010,2
T000265,P014,2
T000265,P016,2
T000265,P015,3
T000266,P014,1
T000266,P015,1
T000267,P003,3
T000267,P002,2
T000268,P016,2
T000268,P015,1
T000269,P001,1
T000269,P002,3
T000269,P005,3
T000270,P001,2
T000270,P004,1
T000270,P002,3
T000271,P002,2
T000271,P003,2
T000271,P001,2
T000272,P013,2
T000272,P012,2
T000273,P007,1
T000273,P006,1
T000273,P008,1
T000274,P008,1
T000274,P007,1
T000274,P006,3
T000274,P009,1
T000275,P001,1
T000275,P003,3
T000275,P002,3
T000276,P010,3
T000276,P011,3
T000277,P007,1
T000277,P006,2
T000277,P008,3
T000278,P008,2
T000278,P009,1
T000279,P014,2
T000279,P016,1
T000279,P015,3
T000280,P013,1
T000280,P011,2
T000281,P014,1
T000281,P016,1
T000281,P015,3
T000282,P003,1
T000282,P005,1
T000283,P012,2
T000283,P011,1
T000283,P010,3
T000284,P004,3
T000284,P002,2
T000285,P008,3
T000285,P009,1
T000286,P007,3
T000286,P006,3
T000287,P014,2
T000287,P016,1
T000287,P015,2
T000288,P001,1
T000288,P004,1
T000288,P002,2
T000288,P005,3
T000289,P002,3
T000289,P003,3
T000289,P001,1
T000289,P004,3
T000290,P012,3
T000290,P010,1
T000290,P011,1
T000291,P002,1
T000291,P001,1
T000292,P007,2
T000292,P006,2
T000292,P009,2
T000293,P004,1
T000293,P002,1
T000293,P005,1
T000294,P007,1
T000294,P006,1
T000295,P004,3
T000295,P003,2
T000295,P002,3
T000296,P013,3
T000296,P012,2
T000296,P010,1
T000297,P007,3
T000297,P006,2
T000297,P008,1
T000298,P006,1
T000298,P008,1
T000298,P009,3
T000299,P003,1
T000299,P004,3
T000300,P014,2
T000300,P016,1
T000301,P002,2
T000301,P004,2
T000301,P003,3
T000302,P016,3
T000302,P015,3
T000303,P014,1
T000303,P016,2
T000304,P007,1
T000304,P006,3
T000304,P009,3
T000305,P004,3
T000305,P001,3
T000306,P013,1
T000306,P012,1
T000306,P010,1
T000307,P013,1
T000307,P012,1
T000307,P011,1
T000307,P010,3
T000308,P013,3
T000308,P012,1
T000308,P011,2
T000308,P010,1
T000309,P007,3
T000309,P006,3
T000309,P009,3
T000310,P013,2
T000310,P012,1
T000310,P010,1
T000311,P012,1
T000311,P010,3
T000312,P012,1
T000312,P011,2
T000313,P010,1
T000313,P011,2
T000314,P013,3
T000314,P012,1
T000314,P010,1
T000315,P014,3
T000315,P015,1
T000316,P004,2
T000316,P002,2
T000316,P005,2
T000317,P014,1
T000317,P016,3
T000318,P014,2
T000318,P015,1
T000319,P014,1
T000319,P016,1
T000319,P015,3
T000320,P014,2
T000320,P016,2
T000320,P015,3
T000321,P008,3
T000321,P009,3
T000322,P012,2
T000322,P011,2
T000322,P010,3
T000323,P013,1
T000323,P012,3
T000323,P010,1
T000324,P014,3
T000324,P015,1
T000325,P014,3
T000325,P016,2
T000325,P015,1
T000326,P007,1
T000326,P009,1
T000327,P014,1
T000327,P016,2
T000327,P015,2
T000328,P013,2
T000328,P012,2
T000328,P010,2
T000329,P004,3
T000329,P002,2
T000329,P005,2
T000330,P014,2
T000330,P015,1
T000331,P014,3
T000331,P016,2
T000331,P015,1
T000332,P007,2
T000332,P006,2
T000332,P008,3
T000333,P013,2
T000333,P012,2
T000333,P010,2
T000334,P004,1
T000334,P005,1
T000335,P013,1
T000335,P012,2
T000335,P010,3
T000335,P011,2
T000336,P013,2
T000336,P011,1
T000336,P010,3
T000337,P007,2
T000337,P008,1
T000338,P012,3
T000338,P010,2
T000338,P011,1
T000339,P014,2
T000339,P016,2
T000339,P015,3
T000340,P004,3
T000340,P001,3
T000340,P005,2
T000341,P007,2
T000341,P006,1
T000342,P002,3
T000342,P003,2
T000342,P001,1
T000343,P001,3
T000343,P004,1
T000343,P002,3
T000344,P012,1
T000344,P010,2
T000344,P011,2
T000345,P002,2
T000345,P004,1
T000345,P001,2
T000346,P013,3
T000346,P011,3
T000346,P010,3
T000347,P012,1
T000347,P010,3
T000348,P012,1
T000348,P010,1
T000348,P011,2
T000349,P004,1
T000349,P003,2
T000349,P002,3
T000350,P008,1
T000350,P007,1
T000350,P006,3
T000350,P009,2
T000351,P016,3
T000351,P015,2
T000352,P014,2
T000352,P016,1
T000352,P015,1
T000353,P008,1
T000353,P006,2
T000353,P009,2
T000354,P002,2
T000354,P003,3
T000354,P001,1
T000355,P007,3
T000355,P006,1
T000355,P008,1
T000356,P008,1
T000356,P007,1
T000356,P006,2
T000356,P009,2
T000357,P012,2
T000357,P010,1
T000358,P006,2
T000358,P009,2
T000359,P004,2
T000359,P005,3
T000360,P013,3
T000360,P012,2
T000360,P010,2
T000360,P011,3
T000361,P013,1
T000361,P010,1
T000362,P012,3
T000362,P011,2
T000362,P010,3
T000363,P010,1
T000363,P011,2
T000364,P013,3
T000364,P012,2
T000364,P011,1
T000365,P003,3
T000365,P004,3
T000365,P005,1
T000366,P014,2
T000366,P016,2
T000366,P015,3
T000367,P012,1
T000367,P011,2
T000368,P013,2
T000368,P011,1
T000369,P007,1
T000369,P008,1
T000370,P007,2
T000370,P009,2
T000371,P001,1
T000371,P003,1
T000371,P002,2
T000372,P003,2
T000372,P004,2
T000372,P001,1
T000373,P004,1
T000373,P003,1
T000373,P001,3
T000373,P005,2
T000374,P014,3
T000374,P016,1
T000374,P015,1
T000375,P002,3
T000375,P003,1
T000375,P001,2
T000376,P004,3
T000376,P001,3
T000376,P005,2
T000377,P014,1
T000377,P016,1
T000377,P015,3
T000378,P014,1
T000378,P016,1
T000379,P008,1
T000379,P006,3
T000379,P009,1
T000380,P006,3
T000380,P009,3
T000381,P007,3
T000381,P006,2
T000381,P008,3
T000381,P009,2
T000382,P006,2
T000382,P008,3
T000382,P009,3
T000383,P012,3
T000383,P011,3
T000383,P010,3
T000384,P016,1
T000384,P015,2
T000385,P013,3
T000385,P012,3
T000385,P011,3
T000386,P007,2
T000386,P006,3
T000386,P008,1
T000387,P016,2
T000387,P015,1
T000388,P014,1
T000388,P015,2
T000389,P007,1
T000389,P006,2
T000390,P002,2
T000390,P003,3
T000390,P001,1
T000390,P005,2
T000391,P002,2
T000391,P003,3
T000391,P001,2
T000391,P004,1
T000392,P014,2
T000392,P016,2
T000392,P015,1
T000393,P003,3
T000393,P004,1
T000393,P005,2
T000394,P013,1
T000394,P011,1
T000394,P010,2
T000395,P012,3
T000395,P010,1
T000396,P003,2
T000396,P002,3
T000396,P005,3
T000397,P002,3
T000397,P003,1
T000397,P001,1
T000398,P002,1
T000398,P004,2
T000398,P001,2
T000399,P014,2
T000399,P016,1
T000400,P013,3
T000400,P012,2
T000400,P011,2
T000401,P007,2
T000401,P006,2
T000401,P009,1
T000402,P014,3
T000402,P015,3
T000403,P014,1
T000403,P016,2
T000403,P015,3
T000404,P003,1
T000404,P005,3
T000405,P003,3
T000405,P004,2
T000406,P014,1
T000406,P016,3
T000406,P015,1
T000407,P002,3
T000407,P003,1
T000407,P001,1
T000408,P004,3
T000408,P001,2
T000409,P012,3
T000409,P010,2
T000410,P014,3
T000410,P016,1
T000410,P015,2
T000411,P002,1
T000411,P003,1
T000411,P001,1
T000412,P012,3
T000412,P010,2
T000412,P011,3
T000413,P006,1
T000413,P008,3
T000413,P009,2
T000414,P012,2
T000414,P010,2
T000414,P011,2
T000415,P006,3
T000415,P008,3
T000416,P004,3
T000416,P005,3
T000417,P013,2
T000417,P010,2
T000418,P007,3
T000418,P006,3
T000418,P009,3
T000419,P013,3
T000419,P012,2
T000420,P003,2
T000420,P001,3
T000421,P003,1
T000421,P004,1
T000421,P002,1
T000422,P014,2
T000422,P016,3
T000422,P015,2
T000423,P002,2
T000423,P003,2
T000423,P001,1
T000424,P004,1
T000424,P002,2
T000425,P012,1
T000425,P010,1
T000426,P004,2
T000426,P003,2
T000427,P003,3
T000427,P004,1
T000427,P005,1
T000428,P007,1
T000428,P008,2
T000428,P009,2
T000429,P014,2
T000429,P016,3
T000429,P015,3
T000430,P002,2
T000430,P004,1
T000430,P001,2
T000431,P006,2
T000431,P009,3
T000432,P014,3
T000432,P016,2
T000432,P015,1
T000433,P006,3
T000433,P008,2
T000433,P009,3
T000434,P007,1
T000434,P008,2
T000434,P009,3
T000435,P006,1
T000435,P008,2
T000436,P006,2
T000436,P008,1
T000436,P009,3
T000437,P013,1
T000437,P012,3
T000437,P010,1
T000437,P011,1
T000438,P013,1
T000438,P011,3
T000438,P010,2
T000439,P007,1
T000439,P006,3
T000439,P008,2
T000440,P013,3
T000440,P012,2
T000440,P010,2
T000440,P011,1
T000441,P012,1
T000441,P011,3
T000441,P010,1
T000442,P008,3
T000442,P009,3
T000443,P004,3
T000443,P001,1
T000443,P005,3
T000444,P014,3
T000444,P016,1
T000444,P015,2
T000445,P014,3
T000445,P016,1
T000445,P015,2
T000446,P003,1
T000446,P005,2
T000447,P014,1
T000447,P016,1
T000447,P015,2
T000448,P013,3
T000448,P012,1
T000448,P011,1
T000448,P010,3
T000449,P007,3
T000449,P008,3
T000449,P009,3
T000450,P013,3
T000450,P012,3
T000450,P011,3
T000451,P007,3
T000451,P006,3
T000451,P008,3
T000452,P014,1
T000452,P016,2
T000452,P015,2
T000453,P014,1
T000453,P015,3
T000454,P007,3
T000454,P006,3
T000455,P002,2
T000455,P004,2
T000455,P001,1
T000455,P005,3
T000456,P013,2
T000456,P012,1
T000456,P010,3
T000457,P002,3
T000457,P003,3
T000457,P001,2
T000457,P004,1
T000458,P014,1
T000458,P016,1
T000459,P014,1
T000459,P016,3
T000459,P015,1
T000460,P002,3
T000460,P003,1
T000460,P001,1
T000461,P016,1
T000461,P015,1
T000462,P008,1
T000462,P009,2
T000463,P007,2
T000463,P006,2
T000463,P009,3
T000464,P001,2
T000464,P004,3
T000464,P003,1
T000464,P005,2
T000465,P013,3
T000465,P012,1
T000465,P011,3
T000466,P007,3
T000466,P006,1
T000466,P008,3
T000467,P001,1
T000467,P003,3
T000467,P002,1
T000468,P014,1
T000468,P015,3
T000469,P002,3
T000469,P003,2
T000469,P001,1
T000469,P004,1
T000470,P013,2
T000470,P012,2
T000470,P010,1
T000470,P011,1
T000471,P008,2
T000471,P006,3
T000471,P009,2
T000472,P016,2
T000472,P015,1
T000473,P016,3
T000473,P015,2
T000474,P007,1
T000474,P006,2
T000475,P014,2
T000475,P016,3
T000475,P015,3
T000476,P014,2
T000476,P016,2
T000476,P015,3
T000477,P014,2
T000477,P016,1
T000478,P013,1
T000478,P011,2
T000479,P014,2
T000479,P015,1
T000480,P014,3
T000480,P016,3
T000480,P015,2
T000481,P007,2
T000481,P009,2
T000482,P004,2
T000482,P002,3
T000483,P004,1
T000483,P003,3
T000483,P002,2
T000484,P002,2
T000484,P003,3
T000484,P001,1
T000485,P003,1
T000485,P004,3
T000485,P001,1
T000486,P008,1
T000486,P007,1
T000486,P006,1
T000486,P009,1
T000487,P004,2
T000487,P002,1
T000488,P013,3
T000488,P012,2
T000488,P011,2
T000488,P010,2
T000489,P016,3
T000489,P015,1
T000490,P003,1
T000490,P004,2
T000490,P001,2
T000491,P008,3
T000491,P007,1
T000491,P009,1
T000492,P014,2
T000492,P015,2
T000493,P013,3
T000493,P012,3
T000494,P007,2
T000494,P006,1
T000494,P008,3
T000494,P009,3
T000495,P001,2
T000495,P002,3
T000496,P012,3
T000496,P010,2
T000497,P014,2
T000497,P016,3
T000497,P015,1
T000498,P014,2
T000498,P015,2
T000499,P007,3
T000499,P006,2
T000500,P012,1
T000500,P010,2
T000501,P013,3
T000501,P011,1
T000502,P007,2
T000502,P008,3
T000503,P008,2
T000503,P007,3
T000503,P006,3
T000503,P009,2
T000504,P003,3
T000504,P001,2
T000504,P005,2
T000505,P007,3
T000505,P008,1
T000506,P007,1
T000506,P008,3
T000507,P004,2
T000507,P003,3
T000507,P005,1
T000508,P007,2
T000508,P006,2
T000508,P008,1
T000509,P014,2
T000509,P016,3
T000509,P015,2
T000510,P008,1
T000510,P009,3
T000511,P013,3
T000511,P012,1
T000511,P010,2
T000512,P001,2
T000512,P002,1
T000512,P005,2
T000513,P014,2
T000513,P016,2
T000513,P015,1
T000514,P001,2
T000514,P004,1
T000514,P002,2
T000514,P005,1
T000515,P016,2
T000515,P015,2
T000516,P012,1
T000516,P011,2
T000516,P010,1
T000517,P013,2
T000517,P011,2
T000518,P001,1
T000518,P004,2
T000518,P003,3
T000519,P013,3
T000519,P012,2
T000520,P013,2
T000520,P011,3
T000521,P014,2
T000521,P016,3
T000521,P015,2
T000522,P013,2
T000522,P012,2
T000522,P011,1
T000523,P013,3
T000523,P012,3
T000524,P007,2
T000524,P006,3
T000524,P008,1
T000525,P014,1
T000525,P015,3
T000526,P001,2
T000526,P004,2
T000526,P003,1
T000526,P005,1
T000527,P013,3
T000527,P012,2
T000527,P010,3
T000528,P013,3
T000528,P012,1
T000528,P011,2
T000529,P014,3
T000529,P015,2
T000530,P002,2
T000530,P003,3
T000530,P001,1
T000531,P007,3
T000531,P006,2
T000531,P008,3
T000532,P016,2
T000532,P015,2
T000533,P007,3
T000533,P008,3
T000533,P009,1
T000534,P014,3
T000534,P015,2
T000535,P007,1
T000535,P006,3
T000535,P008,3
T000535,P009,1
T000536,P006,1
T000536,P009,2
T000537,P004,2
T000537,P003,3
T000537,P002,2
T000538,P007,2
T000538,P008,2
T000538,P009,1
T000539,P007,3
T000539,P006,3
T000539,P009,3
T000540,P014,2
T000540,P016,1
T000540,P015,3
T000541,P014,1
T000541,P016,2
T000541,P015,3
T000542,P003,3
T000542,P004,3
T000542,P001,2
T000542,P005,1
T000543,P004,2
T000543,P002,3
T000543,P005,1
T000544,P013,2
T000544,P012,2
T000544,P010,3
T000544,P011,3
T000545,P010,2
T000545,P011,2
T000546,P013,1
T000546,P012,2
T000546,P010,3
T000547,P013,2
T000547,P012,3
T000547,P011,3
T000548,P013,1
T000548,P012,1
T000548,P011,3
T000549,P007,3
T000549,P006,3
T000549,P008,2
T000550,P014,1
T000550,P016,1
T000550,P015,3
T000551,P007,3
T000551,P008,2
T000551,P009,1
T000552,P016,2
T000552,P015,1
T000553,P007,3
T000553,P006,3
T000553,P008,1
T000553,P009,3
T000554,P003,2
T000554,P004,3
T000555,P012,2
T000555,P010,3
T000555,P011,1
T000556,P004,3
T000556,P002,2
T000557,P007,2
T000557,P006,3
T000557,P009,1
T000558,P004,3
T000558,P003,2
T000558,P001,1
T000558,P005,3
T000559,P014,2
T000559,P016,3
T000559,P015,2
T000560,P007,1
T000560,P008,2
T000560,P009,1
T000561,P008,2
T000561,P007,2
T000561,P006,3
T000561,P009,3
T000562,P001,3
T000562,P003,1
T000562,P002,3
T000562,P005,3
T000563,P003,2
T000563,P002,3
T000563,P005,2
T000564,P014,2
T000564,P016,2
