transaction_id,customer_id,transaction_date
T000157,C0421,2025-01-30
T000158,C0747,2025-01-04
T000159,C0690,2025-02-11
T000160,C0662,2025-01-07
T000161,C0063,2025-01-26
T000162,C0746,2025-01-22
T000163,C0112,2025-01-16
T000164,C0197,2025-01-13
T000165,C0550,2025-01-29
T000166,C0144,2025-01-28
T000167,C0188,2025-01-18
T000168,C0474,2025-01-16
T000169,C0078,2025-01-29
T000170,C0564,2025-01-07
T000171,C0052,2025-02-11
T000172,C0554,2025-02-23
T000173,C0016,2025-01-06
T000174,C0772,2025-02-24
T000175,C0243,2025-01-11
T000176,C0417,2025-02-01
T000177,C0493,2025-01-14
T000178,C0411,2025-02-27
T000179,C0061,2025-01-11
T000180,C0389,2025-01-01
T000181,C0400,2025-01-17
T000182,C0466,2025-01-19
T000183,C0434,2025-02-14
T000184,C0749,2025-02-20
T000185,C0570,2025-02-12
T000186,C0736,2025-02-01
T000187,C0159,2025-01-13
T000188,C0304,2025-01-14
T000189,C0060,2025-02-07
T000190,C0754,2025-02-04
T000191,C0063,2025-02-17
T000192,C0322,2025-01-04
T000193,C0052,2025-02-07
T000194,C0489,2025-02-02
T000195,C0544,2025-01-11
T000196,C0059,2025-02-02
T000197,C0083,2025-02-24
T000198,C0191,2025-01-05
T000199,C0610,2025-01-05
T000200,C0692,2025-02-25
T000201,C0241,2025-01-26
T000202,C0123,2025-03-02
T000203,C0584,2025-01-16
T000204,C0593,2025-02-08
T000205,C0041,2025-02-09
T000206,C0084,2025-01-27
T000207,C0674,2025-02-07
T000208,C0579,2025-02-03
T000209,C0324,2025-03-01
T000210,C0268,2025-01-14
T000211,C0686,2025-02-15
T000212,C0322,2025-01-16
T000213,C0272,2025-01-26
T000214,C0135,2025-02-12
T000215,C0661,2025-01-20
T000216,C0469,2025-01-21
T000217,C0770,2025-03-01
T000218,C0075,2025-01-01
T000219,C0470,2025-02-09
T000220,C0577,2025-01-07
T000221,C0076,2025-02-04
T000222,C0219,2025-02-02
T000223,C0272,2025-01-09
T000224,C0358,2025-02-26
T000225,C0071,2025-02-26
T000226,C0251,2025-01-24
T000227,C0292,2025-01-11
T000228,C0449,2025-02-23
T000229,C0557,2025-02-15
T000230,C0310,2025-02-09
T000231,C0670,2025-02-03
T000232,C0009,2025-02-12
T000233,C0568,2025-01-20
T000234,C0680,2025-01-07
T000235,C0138,2025-01-17
T000236,C0119,2025-02-26
T000237,C0110,2025-02-17
T000238,C0567,2025-01-10
T000239,C0279,2025-01-19
T000240,C0620,2025-01-14
T000241,C0735,2025-01-22
T000242,C0209,2025-02-13
T000243,C0650,2025-02-24
T000244,C0271,2025-02-02
T000245,C0501,2025-01-17
T000246,C0053,2025-01-06
T000247,C0650,2025-01-28
T000248,C0284,2025-01-03
T000249,C0004,2025-01-22
T000250,C0790,2025-01-09
T000251,C0653,2025-01-17
T000252,C0166,2025-02-17
T000253,C0453,2025-02-05
T000254,C0723,2025-01-28
T000255,C0575,2025-01-01
T000256,C0115,2025-01-05
T000257,C0708,2025-02-27
T000258,C0153,2025-02-04
T000259,C0037,2025-02-23
T000260,C0379,2025-02-07
T000261,C0566,2025-01-10
T000262,C0441,2025-01-09
T000263,C0043,2025-01-20
T000264,C0374,2025-02-27
T000265,C0041,2025-02-27
T000266,C0367,2025-01-14
T000267,C0699,2025-01-16
T000268,C0683,2025-01-07
T000269,C0363,2025-02-19
T000270,C0574,2025-02-26
T000271,C0417,2025-02-09
T000272,C0768,2025-01-10
T000273,C0243,2025-02-25
T000274,C0167,2025-02-21
T000275,C0182,2025-02-26
T000276,C0423,2025-01-02
T000277,C0184,2025-02-17
T000278,C0341,2025-02-20
T000279,C0422,2025-02-21
T000280,C0686,2025-02-25
T000281,C0753,2025-02-21
T000282,C0255,2025-01-18
T000283,C0164,2025-02-20
T000284,C0719,2025-01-07
T000285,C0392,2025-02-25
T000286,C0040,2025-02-24
T000287,C0482,2025-01-15
T000288,C0205,2025-02-22
T000289,C0472,2025-01-23
T000290,C0313,2025-02-22
T000291,C0234,2025-01-15
T000292,C0025,2025-02-12
T000293,C0198,2025-01-26
T000294,C0337,2025-01-18
T000295,C0072,2025-02-19
T000296,C0286,2025-01-23
T000297,C0657,2025-02-02
T000298,C0410,2025-02-13
T000299,C0550,2025-01-22
T000300,C0029,2025-01-08
T000301,C0268,2025-01-12
T000302,C0595,2025-01-17
T000303,C0040,2025-01-07
T000304,C0611,2025-01-28
T000305,C0354,2025-02-16
T000306,C0322,2025-01-28
T000307,C0621,2025-02-02
T000308,C0119,2025-01-25
T000309,C0591,2025-01-13
T000310,C0261,2025-01-03
T000311,C0726,2025-01-28
T000312,C0002,2025-02-03
T000313,C0552,2025-02-13
T000314,C0737,2025-03-02
T000315,C0760,2025-02-17
T000316,C0687,2025-01-13
T000317,C0373,2025-01-28
T000318,C0072,2025-03-02
T000319,C0681,2025-02-28
T000320,C0339,2025-02-09
T000321,C0322,2025-02-12
T000322,C0128,2025-02-16
T000323,C0308,2025-02-02
T000324,C0317,2025-02-12
T000325,C0419,2025-01-21
T000326,C0413,2025-02-14
T000327,C0303,2025-02-05
T000328,C0131,2025-01-13
T000329,C0431,2025-02-12
T000330,C0389,2025-02-13
T000331,C0767,2025-02-27
T000332,C0179,2025-02-09
T000333,C0583,2025-01-20
T000334,C0416,2025-02-05
T000335,C0001,2025-01-20
T000336,C0294,2025-01-14
T000337,C0441,2025-02-20
T000338,C0594,2025-02-08
T000339,C0671,2025-01-21
T000340,C0477,2025-01-29
T000341,C0453,2025-02-13
T000342,C0219,2025-02-02
T000343,C0485,2025-02-20
T000344,C0754,2025-01-11
T000345,C0675,2025-01-06
T000346,C0291,2025-02-02
T000347,C0680,2025-02-10
T000348,C0635,2025-01-22
T000349,C0096,2025-02-22
T000350,C0770,2025-01-16
T000351,C0689,2025-01-20
T000352,C0231,2025-02-21
T000353,C0204,2025-01-10
T000354,C0026,2025-01-03
T000355,C0251,2025-01-31
T000356,C0626,2025-02-24
T000357,C0787,2025-01-05
T000358,C0467,2025-01-27
T000359,C0645,2025-02-06
T000360,C0200,2025-02-15
T000361,C0714,2025-01-25
T000362,C0507,2025-01-26
T000363,C0250,2025-01-10
T000364,C0672,2025-02-14
T000365,C0006,2025-02-27
T000366,C0769,2025-02-25
T000367,C0789,2025-02-26
T000368,C0110,2025-02-19
T000369,C0436,2025-01-15
T000370,C0181,2025-02-21
T000371,C0713,2025-02-03
T000372,C0476,2025-01-04
T000373,C0571,2025-01-16
T000374,C0125,2025-01-30
T000375,C0137,2025-02-21
T000376,C0476,2025-02-12
T000377,C0544,2025-02-05
T000378,C0610,2025-01-21
T000379,C0774,2025-02-27
T000380,C0454,2025-02-09
T000381,C0737,2025-02-27
T000382,C0517,2025-01-28
T000383,C0562,2025-01-29
T000384,C0163,2025-02-17
T000385,C0487,2025-01-29
T000386,C0266,2025-02-18
T000387,C0254,2025-02-23
T000388,C0653,2025-01-18
T000389,C0785,2025-02-19
T000390,C0534,2025-02-01
T000391,C0642,2025-01-16
T000392,C0282,2025-01-29
T000393,C0080,2025-02-15
T000394,C0293,2025-01-16
T000395,C0279,2025-01-22
T000396,C0328,2025-02-27
T000397,C0554,2025-01-06
T000398,C0142,2025-01-10
T000399,C0237,2025-01-25
T000400,C0711,2025-01-10
T000401,C0724,2025-01-14
T000402,C0066,2025-01-27
T000403,C0418,2025-01-22
T000404,C0556,2025-01-30
T000405,C0426,2025-01-04
T000406,C0212,2025-02-23
T000407,C0431,2025-01-25
T000408,C0789,2025-02-07
T000409,C0713,2025-01-02
T000410,C0784,2025-02-06
T000411,C0390,2025-01-31
T000412,C0007,2025-03-02
T000413,C0361,2025-01-20
T000414,C0772,2025-01-25
T000415,C0430,2025-02-04
T000416,C0766,2025-02-17
T000417,C0560,2025-02-21
T000418,C0618,2025-02-27
T000419,C0226,2025-02-01
T000420,C0225,2025-01-18
T000421,C0447,2025-02-01
T000422,C0030,2025-01-25
T000423,C0345,2025-02-12
T000424,C0696,2025-02-21
T000425,C0415,2025-02-16
T000426,C0170,2025-02-23
T000427,C0479,2025-02-28
T000428,C0131,2025-02-09
T000429,C0547,2025-01-02
T000430,C0404,2025-02-07
T000431,C0578,2025-02-12
T000432,C0028,2025-01-06
T000433,C0659,2025-01-28
T000434,C0139,2025-02-25
T000435,C0473,2025-01-12
T000436,C0052,2025-01-17
T000437,C0389,2025-01-21
T000438,C0217,2025-01-30
T000439,C0335,2025-01-22
T000440,C0780,2025-02-26
T000441,C0389,2025-01-18
T000442,C0771,2025-03-02
T000443,C0432,2025-01-17
T000444,C0084,2025-01-31
T000445,C0020,2025-02-17
T000446,C0553,2025-01-04
T000447,C0359,2025-01-15
T000448,C0666,2025-01-05
T000449,C0800,2025-02-11
T000450,C0042,2025-02-18
T000451,C0032,2025-03-02
T000452,C0254,2025-01-13
T000453,C0021,2025-02-09
T000454,C0157,2025-01-16
T000455,C0130,2025-01-31
T000456,C0686,2025-01-08
T000457,C0578,2025-03-02
T000458,C0224,2025-01-30
T000459,C0717,2025-01-17
T000460,C0786,2025-01-24
T000461,C0172,2025-02-08
T000462,C0622,2025-02-17
T000463,C0736,2025-01-08
T000464,C0797,2025-02-22
T000465,C0168,2025-01-20
T000466,C0111,2025-02-07
T000467,C0027,2025-03-01
T000468,C0320,2025-02-06
T000469,C0694,2025-02-28
T000470,C0385,2025-01-26
T000471,C0733,2025-01-13
T000472,C0078,2025-02-07
T000473,C0708,2025-02-23
T000474,C0643,2025-01-16
T000475,C0105,2025-02-14
T000476,C0792,2025-01-20
T000477,C0701,2025-02-08
T000478,C0124,2025-02-20
T000479,C0580,2025-02-20
T000480,C0043,2025-01-23
T000481,C0546,2025-01-28
T000482,C0678,2025-01-24
T000483,C0071,2025-02-02
T000484,C0664,2025-01-22
T000485,C0013,2025-02-24
T000486,C0431,2025-02-22
T000487,C0502,2025-01-07
T000488,C0444,2025-01-24
T000489,C0651,2025-02-27
T000490,C0471,2025-02-15
T000491,C0157,2025-01-28
T000492,C0181,2025-02-16
T000493,C0535,2025-02-11
T000494,C0277,2025-02-09
T000495,C0552,2025-02-19
T000496,C0496,2025-01-30
T000497,C0447,2025-02-22
T000498,C0749,2025-02-07
T000499,C0275,2025-01-21
T000500,C0252,2025-02-23
T000501,C0089,2025-01-18
T000502,C0462,2025-01-16
T000503,C0769,2025-01-30
T000504,C0584,2025-02-09
T000505,C0685,2025-01-25
T000506,C0345,2025-01-02
T000507,C0507,2025-02-24
T000508,C0333,2025-01-12
T000509,C0500,2025-01-14
T000510,C0364,2025-02-21
T000511,C0265,2025-01-22
T000512,C0287,2025-02-26
T000513,C0611,2025-02-14
T000514,C0283,2025-02-05
T000515,C0011,2025-02-03
T000516,C0196,2025-01-06
T000517,C0248,2025-02-16
T000518,C0417,2025-02-01
T000519,C0569,2025-02-18
T000520,C0247,2025-02-14
T000521,C0488,2025-02-11
T000522,C0729,2025-02-01
T000523,C0459,2025-02-20
T000524,C0018,2025-01-06
T000525,C0302,2025-01-15
T000526,C0415,2025-02-14
T000527,C0250,2025-01-20
T000528,C0680,2025-02-07
T000529,C0378,2025-01-31
T000530,C0567,2025-02-03
T000531,C0353,2025-01-28
T000532,C0764,2025-02-05
T000533,C0339,2025-01-23
T000534,C0720,2025-01-30
T000535,C0278,2025-01-20
T000536,C0258,2025-01-15
T000537,C0124,2025-02-16
T000538,C0198,2025-01-21
T000539,C0123,2025-02-17
T000540,C0549,2025-03-02
T000541,C0781,2025-02-14
T000542,C0190,2025-01-13
T000543,C0222,2025-02-17
T000544,C0496,2025-01-18
T000545,C0742,2025-02-07
T000546,C0779,2025-02-03
T000547,C0612,2025-01-19
T000548,C0103,2025-02-23
T000549,C0199,2025-01-19
T000550,C0233,2025-01-24
T000551,C0184,2025-01-20
T000552,C0015,2025-02-15
T000553,C0547,2025-01-09
T000554,C0281,2025-01-03
T000555,C0056,2025-02-05
T000556,C0300,2025-02-14
T000557,C0130,2025-02-10
T000558,C0771,2025-02-01
T000559,C0106,2025-02-25
T000560,C0013,2025-02-06
T000561,C0292,2025-01-31
T000562,C0491,2025-01-29
T000563,C0349,2025-01-12
T000564,C0053,2025-01-17
T000565,C0490,2025-01-08
T000566,C0067,2025-01-26
T000567,C0504,2025-01-05
T000568,C0591,2025-02-10
T000569,C0703,2025-01-04
T000570,C0156,2025-01-10
T000571,C0577,2025-03-02
T000572,C0312,2025-01-06
T000573,C0255,2025-01-08
T000574,C0572,2025-02-18
T000575,C0427,2025-02-08
T000576,C0611,2025-02-20
T000577,C0634,2025-01-15
T000578,C0795,2025-02-03
T000579,C0390,2025-01-29
T000580,C0454,2025-01-20
T000581,C0603,2025-01-28
T000582,C0313,2025-02-06
T000583,C0636,2025-01-04
T000584,C0625,2025-02-17
T000585,C0102,2025-03-02
T000586,C0782,2025-01-14
T000587,C0641,2025-01-14
T000588,C0271,2025-02-12
T000589,C0084,2025-01-11
T000590,C0246,2025-01-12
T000591,C0566,2025-01-05
T000592,C0161,2025-01-01
T000593,C0419,2025-01-29
T000594,C0706,2025-02-08
T000595,C0482,2025-01-19
T000596,C0034,2025-01-15
T000597,C0296,2025-02-15
T000598,C0290,2025-02-14
T000599,C0465,2025-01-05
T000600,C0704,2025-01-15
T000601,C0271,2025-02-20
T000602,C0641,2025-02-07
T000603,C0678,2025-02-21
T000604,C0203,2025-01-28
T000605,C0118,2025-02-04
T000606,C0231,2025-02-11
T000607,C0153,2025-02-28
T000608,C0273,2025-02-22
T000609,C0146,2025-01-05
T000610,C0062,2025-01-11
T000611,C0315,2025-02-08
T000612,C0767,2025-02-22
T000613,C0583,2025-02-28
T000614,C0296,2025-01-29
T000615,C0128,2025-01-30
T000616,C0706,2025-01-20
T000617,C0717,2025-01-26
T000618,C0279,2025-02-02
T000619,C0553,2025-02-01
T000620,C0449,2025-01-06
T000621,C0613,2025-01-03
T000622,C0443,2025-02-17
T000623,C0331,2025-02-08
T000624,C0257,2025-01-02
T000625,C0094,2025-01-15
T000626,C0691,2025-02-23
T000627,C0590,2025-02-07
T000628,C0022,2025-02-18
T000629,C0689,2025-02-22
T000630,C0276,2025-02-06
T000631,C0042,2025-02-18
T000632,C0775,2025-01-12
T000633,C0482,2025-02-03
T000634,C0668,2025-01-29
T000635,C0285,2025-01-12
T000636,C0600,2025-01-28
T000637,C0651,2025-02-22
T000638,C0504,2025-01-06
T000639,C0482,2025-01-23
T000640,C0419,2025-01-22
T000641,C0329,2025-02-12
T000642,C0108,2025-02-24
T000643,C0165,2025-01-22
T000644,C0422,2025-02-14
T000645,C0508,2025-01-19
T000646,C0679,2025-03-02
T000647,C0411,2025-02-22
T000648,C0779,2025-02-05
T000649,C0038,2025-01-30
T000650,C0091,2025-01-21
T000651,C0259,2025-01-21
T000652,C0119,2025-02-19
T000653,C0414,2025-02-25
T000654,C0527,2025-02-22
T000655,C0002,2025-02-12
T000656,C0556,2025-01-30
T000657,C0424,2025-01-04
T000658,C0193,2025-02-03
T000659,C0371,2025-02-09
T000660,C0775,2025-02-01
T000661,C0641,2025-01-29
T000662,C0779,2025-01-04
T000663,C0209,2025-01-18
T000664,C0563,2025-01-09
T000665,C0295,2025-01-29
T000666,C0716,2025-02-01
T000667,C0125,2025-01-02
T000668,C0646,2025-02-08
T000669,C0246,2025-02-15
T000670,C0163,2025-01-20
T000671,C0565,2025-01-01
T000672,C0566,2025-01-27
T000673,C0096,2025-01-15
T000674,C0117,2025-01-30
T000675,C0121,2025-02-11
T000676,C0158,2025-02-01
T000677,C0734,2025-01-19
T000678,C0522,2025-02-15
T000679,C0280,2025-01-27
T000680,C0495,2025-01-31
T000681,C0250,2025-01-30
T000682,C0565,2025-01-10
T000683,C0393,2025-01-13
T000684,C0614,2025-02-02
T000685,C0765,2025-02-26
T000686,C0140,2025-02-25
T000687,C0072,2025-01-18
T000688,C0792,2025-02-20
T000689,C0425,2025-01-22
T000690,C0520,2025-01-18
T000691,C0003,2025-01-19
T000692,C0744,2025-01-20
T000693,C0602,2025-02-07
T000694,C0676,2025-02-01
T000695,C0153,2025-01-29
T000696,C0552,2025-01-31
T000697,C0354,2025-01-22
T000698,C0566,2025-02-18
T000699,C0557,2025-01-25
T000700,C0467,2025-03-01
T000701,C0330,2025-02-25
T000702,C0194,2025-02-14
T000703,C0245,2025-02-06
T000704,C0393,2025-01-15
T000705,C0795,2025-01-27
T000706,C0045,2025-01-21
T000707,C0763,2025-01-31
T000708,C0723,2025-02-28
T000709,C0391,2025-01-25
T000710,C0680,2025-02-20
T000711,C0668,2025-01-10
T000712,C0508,2025-01-03
T000713,C0130,2025-02-02
T000714,C0605,2025-01-22
T000715,C0103,2025-02-25
T000716,C0451,2025-01-07
T000717,C0539,2025-02-28
T000718,C0468,2025-01-01
T000719,C0740,2025-01-10
T000720,C0420,2025-02-25
T000721,C0671,2025-01-10
T000722,C0077,2025-01-31
T000723,C0272,2025-01-22
T000724,C0639,2025-02-14
T000725,C0408,2025-02-11
T000726,C0083,2025-02-24
T000727,C0337,2025-02-24
T000728,C0691,2025-02-24
T000729,C0547,2025-01-25
T000730,C0325,2025-02-10
T000731,C0736,2025-02-26
T000732,C0778,2025-02-01
T000733,C0555,2025-01-03
T000734,C0633,2025-01-05
T000735,C0241,2025-02-10
T000736,C0701,2025-02-28
T000737,C0295,2025-01-15
T000738,C0765,2025-01-06
T000739,C0445,2025-01-07
T000740,C0779,2025-02-10
T000741,C0721,2025-02-25
T000742,C0103,2025-01-29
T000743,C0171,2025-02-14
T000744,C0307,2025-02-27
T000745,C0030,2025-01-03
T000746,C0333,2025-02-20
T000747,C0058,2025-01-19
T000748,C0368,2025-01-24
T000749,C0442,2025-01-10
T000750,C0251,2025-02-03
T000751,C0422,2025-02-06
T000752,C0699,2025-02-20
T000753,C0185,2025-01-11
T000754,C0180,2025-01-06
T000755,C0625,2025-02-25
T000756,C0392,2025-02-09
T000757,C0700,2025-01-16
T000758,C0510,2025-02-28
T000759,C0598,2025-01-10
T000760,C0238,2025-01-30
T000761,C0654,2025-01-17
T000762,C0471,2025-01-17
T000763,C0683,2025-01-01
T000764,C0477,2025-02-27
T000765,C0295,2025-02-13
T000766,C0560,2025-01-11
T000767,C0076,2025-01-29
T000768,C0354,2025-02-07
T000769,C0307,2025-02-10
T000770,C0435,2025-02-14
T000771,C0257,2025-01-30
T000772,C0310,2025-01-13
T000773,C0394,2025-02-24
T000774,C0495,2025-01-07
T000775,C0243,2025-01-25
T000776,C0586,2025-01-23
T000777,C0589,2025-01-19
T000778,C0717,2025-01-19
T000779,C0023,2025-02-23
T000780,C0675,2025-01-26
T000781,C0282,2025-01-01
T000782,C0580,2025-02-25
T000783,C0703,2025-02-19
T000784,C0763,2025-01-04
T000785,C0621,2025-02-17
T000786,C0509,2025-02-23
T000787,C0294,2025-02-19
T000788,C0236,2025-02-08
T000789,C0361,2025-01-15
T000790,C0652,2025-01-13
T000791,C0636,2025-01-17
T000792,C0695,2025-02-18
T000793,C0739,2025-02-19
T000794,C0676,2025-02-13
T000795,C0141,2025-02-10
T000796,C0100,2025-02-27
T000797,C0643,2025-02-11
T000798,C0041,2025-01-20
T000799,C0452,2025-01-03
T000800,C0594,2025-01-24
T000801,C0750,2025-01-09
T000802,C0093,2025-02-28
T000803,C0303,2025-01-21
T000804,C0766,2025-01-27
T000805,C0180,2025-01-13
T000806,C0136,2025-02-20
T000807,C0553,2025-02-26
T000808,C0375,2025-02-03
T000809,C0514,2025-02-28
T000810,C0280,2025-02-23
T000811,C0169,2025-01-17
T000812,C0494,2025-02-21
T000813,C0303,2025-02-17
T000814,C0347,2025-02-21
T000815,C0118,2025-01-30
T000816,C0078,2025-01-10
T000817,C0773,2025-01-15
T000818,C0693,2025-02-16
T000819,C0691,2025-01-26
T000820,C0571,2025-01-24
T000821,C0093,2025-02-20
T000822,C0405,2025-01-01
T000823,C0271,2025-02-04
T000824,C0127,2025-01-30
T000825,C0378,2025-02-13
T000826,C0767,2025-02-13
T000827,C0269,2025-02-07
T000828,C0391,2025-02-22
T000829,C0654,2025-03-02
T000830,C0381,2025-01-07
T000831,C0692,2025-01-15
T000832,C0483,2025-01-02
T000833,C0635,2025-02-26
T000834,C0575,2025-01-21
T000835,C0625,2025-01-15
T000836,C0664,2025-01-05
T000837,C0651,2025-02-22
T000838,C0476,2025-02-28
T000839,C0718,2025-01-20
T000840,C0665,2025-01-27
T000841,C0120,2025-01-09
T000842,C0047,2025-03-02
T000843,C0039,2025-01-20
T000844,C0505,2025-01-08
T000845,C0100,2025-01-16
T000846,C0551,2025-01-09
T000847,C0398,2025-01-30
T000848,C0380,2025-02-12
T000849,C0761,2025-02-14
T000850,C0554,2025-01-27
T000851,C0602,2025-02-17
T000852,C0745,2025-01-10
T000853,C0425,2025-02-11
T000854,C0102,2025-02-23
T000855,C0502,2025-02-09
T000856,C0418,2025-03-02
T000857,C0287,2025-01-03
T000858,C0707,2025-01-24
T000859,C0223,2025-01-29
T000860,C0456,2025-03-02
T000861,C0242,2025-02-24
T000862,C0372,2025-01-07
T000863,C0703,2025-01-24
T000864,C0558,2025-02-27
T000865,C0661,2025-01-23
T000866,C0063,2025-01-26
T000867,C0283,2025-01-13
T000868,C0126,2025-03-02
T000869,C0466,2025-01-06
T000870,C0679,2025-01-14
T000871,C0658,2025-02-10
T000872,C0612,2025-01-02
T000873,C0052,2025-02-20
T000874,C0342,2025-01-16
T000875,C0129,2025-02-20
T000876,C0579,2025-01-14
T000877,C0071,2025-02-23
T000878,C0784,2025-02-05
T000879,C0213,2025-02-07
T000880,C0222,2025-02-22
T000881,C0239,2025-01-22
T000882,C0793,2025-01-10
T000883,C0611,2025-01-01
T000884,C0284,2025-02-24
T000885,C0149,2025-01-09
T000886,C0554,2025-01-17
T000887,C0179,2025-01-08
T000888,C0677,2025-02-25
T000889,C0027,2025-01-09
T000890,C0016,2025-01-23
T000891,C0244,2025-02-07
T000892,C0332,2025-01-02
T000893,C0179,2025-01-17
T000894,C0054,2025-01-09
T000895,C0760,2025-01-27
T000896,C0539,2025-01-08
T000897,C0764,2025-01-05
T000898,C0488,2025-01-29
T000899,C0797,2025-01-24
T000900,C0526,2025-02-07
T000901,C0112,2025-01-29
T000902,C0516,2025-01-15
T000903,C0630,2025-01-03
T000904,C0745,2025-02-20
T000905,C0675,2025-02-03
T000906,C0309,2025-01-30
T000907,C0659,2025-01-02
T000908,C0063,2025-01-31
T000909,C0412,2025-01-28
T000910,C0703,2025-01-07
T000911,C0503,2025-02-15
T000912,C0455,2025-01-05
T000913,C0083,2025-01-21
T000914,C0623,2025-01-10
T000915,C0068,2025-01-09
T000916,C0282,2025-02-09
T000917,C0649,2025-02-07
T000918,C0562,2025-02-15
T000919,C0333,2025-01-25
T000920,C0612,2025-02-03
T000921,C0302,2025-01-30
T000922,C0518,2025-02-08
T000923,C0441,2025-01-07
T000924,C0719,2025-01-08
T000925,C0671,2025-02-11
T000926,C0788,2025-02-05
T000927,C0739,2025-02-25
T000928,C0221,2025-01-28
T000929,C0463,2025-02-26
T000930,C0234,2025-01-27
T000931,C0348,2025-02-22
